Web;Navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
cloudflare-dns.com;CHROME;4809.0192307692305;4806.537037295013;682;16630;117;104.17307692307692
cloudflare-dns.com;EDGE;12696.231578947369;11603.634477814994;671;75432;42;57.93684210526316
cloudflare-dns.com;FIREFOX;3388.265060240964;5456.76356792223;913;17378;54;65.27710843373494
cloudflare.com;CHROME;7632.141025641025;5787.520644091898;684;17916;53;80.50641025641026
cloudflare.com;EDGE;10230.735483870967;5408.8044062344825;704;26357;53;60.96774193548387
cloudflare.com;FIREFOX;7504.413580246914;6248.091043273285;709;20266;53;63.19753086419753
cloudfront.net;CHROME;4124.571428571428;4396.871633187641;724;12911;117;105.82417582417582
cloudfront.net;EDGE;13671.0;13427.502832015993;692;68819;42;59.875
cloudfront.net;FIREFOX;3040.847222222222;5305.893559928238;811;17175;54;65.55555555555556
criteo.com;CHROME;6051.445820433437;10146.237396075516;698;48623;117;111.47368421052632
criteo.com;EDGE;8096.277070063694;11449.913462414852;679;83517;117;99.79617834394904
criteo.com;FIREFOX;5403.758293838862;9253.31042607455;716;49766;54;99.25118483412322
digicert.com;CHROME;11902.817164179105;17581.71391367963;686;90315;117;118.30223880597015
digicert.com;EDGE;12273.328358208955;15554.390473926405;669;79742;53;103.05223880597015
digicert.com;FIREFOX;11692.144708423326;17616.162259217614;699;80007;53;112.66090712742981
discord.com;CHROME;8214.772727272728;6652.883395237688;733;43530;53;106.86363636363636
discord.com;EDGE;9196.486111111111;5334.717699127278;851;23700;53;91.90277777777777
discord.com;FIREFOX;5773.225806451613;5561.728500690111;712;13906;53;93.93548387096774
dns.google;CHROME;4346.584905660377;4487.405963716516;716;12679;117;107.48113207547169
dns.google;EDGE;12414.9375;10957.425493640567;673;54567;43;60.447916666666664
dns.google;FIREFOX;2769.6835443037976;4917.337435020495;783;17216;54;68.56962025316456
doubleclick.net;CHROME;2793.220588235294;3678.413927233672;666;12574;117;112.25490196078431
doubleclick.net;EDGE;5734.215311004785;6142.289901744474;683;27675;118;90.35885167464114
doubleclick.net;FIREFOX;2244.8813559322034;3788.7677660035124;684;18272;117;95.24293785310735
doubleverify.com;CHROME;11869.932270916335;17969.368595679553;707;80317;53;107.72908366533865
doubleverify.com;EDGE;12983.55905511811;17490.183595378756;686;80400;53;99.03937007874016
doubleverify.com;FIREFOX;10662.339768339769;15464.431510101544;691;83413;53;97.07722007722008
facebook.com;CHROME;4053.6225165562914;4689.940815179828;712;13393;84;96.70198675496688
facebook.com;EDGE;6386.69298245614;7921.2792769086345;722;71497;84;70.9298245614035
facebook.com;FIREFOX;3469.664335664336;5250.12345923791;711;17161;84;73.5034965034965
fastly-edge.com;CHROME;3818.259259259259;4217.799001783329;709;12401;117;104.64197530864197
fastly-edge.com;EDGE;12863.513888888889;12999.030124159972;717;72191;43;58.5
fastly-edge.com;FIREFOX;3323.5178571428573;5742.9700867980455;856;18255;54;62.125
fastly.net;CHROME;14893.64325323475;24085.475444916618;677;83404;53;130.53974121996302
fastly.net;EDGE;15587.29411764706;24205.991665775575;672;144397;53;124.71537001897534
fastly.net;FIREFOX;14197.10843373494;23763.24279294695;715;135293;54;114.02409638554217
fbcdn.net;CHROME;4226.46875;4882.772880782662;672;14324;84;96.2375
fbcdn.net;EDGE;7325.733766233766;6859.405019113394;720;40122;84;67.64935064935065
fbcdn.net;FIREFOX;3066.006896551724;4957.3608184874265;720;17247;84;74.17241379310344
ggpht.com;CHROME;3889.9655172413795;4322.597997996746;699;12916;117;105.42528735632185
ggpht.com;EDGE;12609.358024691359;12684.702167678832;978;67708;42;60.65432098765432
ggpht.com;FIREFOX;2832.788732394366;5120.978519539553;895;17146;54;64.83098591549296
gmail.com;CHROME;3797.0652173913045;4669.0265052538825;750;13301;117;111.67391304347827
gmail.com;EDGE;5516.865384615385;5229.793813762121;721;16101;117;99.28846153846153
gmail.com;FIREFOX;2098.684210526316;3165.610881905592;741;12802;117;99.40350877192982
google-analytics.com;CHROME;2800.108910891089;3739.4161286361646;673;12653;117;112.21782178217822
google-analytics.com;EDGE;5468.9537037037035;11509.790832669383;680;152604;118;93.44444444444444
google-analytics.com;FIREFOX;2069.4444444444443;3645.927312993391;692;17172;117;96.98941798941799
google.com;CHROME;3274.2587412587413;4356.3424536446355;691;14901;117;106.92307692307692
google.com;EDGE;6718.696296296296;10946.178936849308;700;71520;117;84.54814814814814
google.com;FIREFOX;2313.9461538461537;4360.903320674733;674;18332;54;84.23076923076923
googleadservices.com;CHROME;5066.625;12507.856330490664;728;113377;117;105.26136363636364
googleadservices.com;EDGE;8521.3;10163.36788061751;677;71882;118;72.52
googleadservices.com;FIREFOX;2321.979797979798;4423.497939413545;711;17255;54;77.04040404040404
googleapis.com;CHROME;4343.247191011236;4641.538027031996;673;13736;117;105.61797752808988
googleapis.com;EDGE;9123.00892857143;8614.102499087438;683;53364;41;69.16071428571429
